0.94727,0.94357,0.94909,0.94567,0.95789,0.95792,0.95783,0.95232
0.87191,0.87201,0.87193,0.8741,0.88403,0.90088,0.88496,0.87906
0.73187,0.71502,0.70912,0.71692,0.724,0.71099,0.71003,0.73094
0.78519,0.79259,0.8,0.80741,0.75556,0.78519,0.78148,0.8037
0.80988,0.80405,0.77637,0.77978,0.77213,0.79304,0.77077,0.78595
0.97798,0.99,0.987,0.98701,0.98401,0.98601,0.986,0.987
0.86651,0.84948,0.79591,0.86921,0.85167,0.83492,0.8631,0.84524
0.72942,0.7608,0.81706,0.78894,0.76987,0.77461,0.76827,0.77411
0.81709,0.78252,0.81642,0.80928,0.81647,0.79748,0.80261,0.79817
0.95168,0.94033,0.95402,0.93821,0.94054,0.94255,0.94736,0.94255
0.99062,0.99186,0.9903,0.9903,0.99124,0.99124,0.99343,0.98968
0.99686,0.99687,0.99584,0.99581,0.99581,0.99275,0.99475,0.99478
0.93983,0.9276,0.9395,0.92337,0.9432,0.93376,0.93675,0.93996
0.95523,0.96692,0.96046,0.96111,0.96046,0.96532,0.9719,0.96104
0.91596,0.90111,0.90523,0.90111,0.91813,0.91374,0.91618,0.90517
0.96041,0.95229,0.94726,0.95606,0.95669,0.94914,0.94098,0.95735
0.79048,0.74286,0.7381,0.79286,0.72143,0.67381,0.71905,0.77857
0.90298,0.91964,0.95,0.87857,0.91369,0.90357,0.92143,0.90119
